Date,Open,High,Low,Close,Adj Close,Volume
2016-08-24,18.820000,18.820000,18.540001,18.545000,18.545000,26
2016-08-25,18.478001,18.504999,18.478001,18.478001,18.478001,13
2016-08-26,18.695000,18.695000,18.594999,18.645000,18.645000,3
2016-08-28,null,null,null,null,null,null
2016-08-29,18.761999,18.761999,18.761999,18.761999,18.761999,4
2016-08-30,18.860001,18.940001,18.549999,18.577000,18.577000,47463
2016-08-31,18.580000,18.795000,18.520000,18.622000,18.622000,14289
2016-09-01,18.700001,18.900000,18.584999,18.857000,18.857000,1589
2016-09-02,18.860001,19.395000,18.780001,19.275999,19.275999,370
2016-09-04,null,null,null,null,null,null
2016-09-06,19.395000,20.100000,19.315001,20.049000,20.049000,508
2016-09-07,19.969999,20.014999,19.735001,19.759001,19.759001,825
2016-09-08,19.795000,19.875000,19.580000,19.591000,19.591000,236
2016-09-09,19.615000,19.620001,19.025000,19.282000,19.282000,237
2016-09-11,null,null,null,null,null,null
2016-09-12,19.035000,19.035000,18.715000,18.915001,18.915001,125
2016-09-13,19.170000,19.170000,18.889999,18.889999,18.889999,253
2016-09-14,18.995001,18.995001,18.982000,18.982000,18.982000,76
2016-09-15,18.965000,19.040001,18.809999,18.959000,18.959000,107
2016-09-16,18.889999,18.889999,18.750000,18.781000,18.781000,133
2016-09-18,null,null,null,null,null,null
2016-09-19,18.875000,19.235001,18.875000,19.205999,19.205999,79
2016-09-20,19.200001,19.200001,19.139999,19.195000,19.195000,48
2016-09-21,19.686001,19.686001,19.686001,19.686001,19.686001,13
2016-09-22,19.985001,20.020000,19.879999,20.020000,20.020000,22
2016-09-23,19.855000,19.855000,19.733000,19.733000,19.733000,42
2016-09-25,null,null,null,null,null,null
2016-09-26,19.559999,19.559999,19.516001,19.516001,19.516001,48
2016-09-27,19.379999,19.379999,19.087000,19.087000,19.087000,38
2016-09-28,19.049999,19.055000,19.044001,19.044001,19.044001,30
2016-09-29,19.225000,19.225000,19.010000,19.115000,19.115000,56
2016-09-30,19.400000,19.600000,19.139000,19.139000,19.139000,94
2016-10-02,null,null,null,null,null,null
2016-10-03,18.870001,18.870001,18.795000,18.795000,18.795000,70
2016-10-04,18.500000,18.500000,17.712999,17.712999,17.712999,13
2016-10-05,17.850000,17.850000,17.605000,17.634001,17.634001,160
2016-10-06,17.735001,17.764999,17.280001,17.288000,17.288000,19
2016-10-07,17.245001,17.520000,17.195000,17.323999,17.323999,16
2016-10-09,null,null,null,null,null,null
2016-10-11,17.650000,17.650000,17.455999,17.455999,17.455999,3
2016-10-12,17.500000,17.500000,17.455000,17.455000,17.455000,5
2016-10-13,17.440001,17.450001,17.410000,17.410000,17.410000,11
2016-10-14,17.344999,17.434999,17.330000,17.393000,17.393000,9
2016-10-16,null,null,null,null,null,null
2016-10-17,17.415001,17.426001,17.415001,17.426001,17.426001,32
2016-10-18,17.650000,17.650000,17.495001,17.591000,17.591000,13
2016-10-19,17.584999,17.709999,17.584999,17.615999,17.615999,21
2016-10-20,17.684999,17.684999,17.424999,17.502001,17.502001,9
2016-10-21,17.448000,17.448000,17.448000,17.448000,17.448000,17
2016-10-23,null,null,null,null,null,null
2016-10-24,17.562000,17.562000,17.562000,17.562000,17.562000,0
2016-10-25,17.629999,17.736000,17.629999,17.736000,17.736000,12
2016-10-26,17.655001,17.655001,17.584999,17.584999,17.584999,12
2016-10-27,17.590000,17.604000,17.590000,17.604000,17.604000,6
2016-10-28,17.625000,17.855000,17.605000,17.761999,17.761999,33
2016-10-30,null,null,null,null,null,null
2016-10-31,17.809999,17.809999,17.761999,17.761999,17.761999,38
2016-11-01,18.000000,18.450001,18.000000,18.385000,18.385000,4
2016-11-02,18.330000,18.660000,18.330000,18.660000,18.660000,50
2016-11-03,18.382999,18.382999,18.330000,18.382999,18.382999,14
2016-11-04,18.341999,18.370001,18.341999,18.341999,18.341999,4
2016-11-06,null,null,null,null,null,null
2016-11-07,18.150000,18.195000,18.124001,18.124001,18.124001,10
2016-11-08,18.299999,18.700001,18.299999,18.330000,18.330000,10
2016-11-09,18.770000,18.799999,18.357000,18.357000,18.357000,21
2016-11-10,18.475000,18.716000,18.459999,18.716000,18.716000,19
2016-11-13,null,null,null,null,null,null
2016-11-14,17.459999,17.459999,16.805000,16.877001,16.877001,29
2016-11-15,17.049999,17.049999,17.028999,17.028999,17.028999,22
2016-11-16,16.914000,16.924999,16.914000,16.914000,16.914000,1
2016-11-17,16.761000,16.761000,16.761000,16.761000,16.761000,1
2016-11-18,16.613001,16.613001,16.613001,16.613001,16.613001,0
2016-11-20,null,null,null,null,null,null
2016-11-21,16.511999,16.549999,16.511999,16.511999,16.511999,3
2016-11-22,16.622999,16.622999,16.622999,16.622999,16.622999,3
2016-11-23,16.254999,16.382999,16.254999,16.382999,16.382999,2
2016-11-25,16.540001,16.540001,16.464001,16.464001,16.464001,2
2016-11-27,null,null,null,null,null,null
2016-11-28,16.577999,16.577999,16.577999,16.577999,16.577999,1
2016-11-29,16.605000,16.700001,16.389999,16.660999,16.660999,66688
2016-11-30,16.545000,16.715000,16.395000,16.406000,16.406000,17875
